interpreter scholar;artist
tyne tine;tone
ometer metier;mete
thomajan the men;the max
roupa roups;rope
stockpiled hoard;surplus
departments division;office
ligomatos logomanias;comatose
steelâ steely;steal
lisbon lies on;misborn
convened assemble;gather
monkeyâ´s 
hypoglycemic 
unfortuntaely un fortunately;un-fortunately
scholl's sculls;colls
entrancingly handsomely;gracefully
'ecstasy in ecstasy;egestas
materani mattering;maharani
her 
adopted use;ratify
piste poster;piest
scholarship education;expertise
turok trek;trick
uncool abhorrent;vile
glinting waxy;glistening
muchachas mochas;muchos
dj's da's;do's
keels plunge;topple
'pinky' punky;pink
disowning renounce;repudiate
laundry washing;wash
matelot matest;merlot
focus' focus on;focused
ohlund old;blind
makeout makedo;market
purticularly particular;particulars
kilmore all more;galore
collins's coilings;cullings
scandalizing offend;slander
carbaga garbage;carnage
njegovi jerk off;kung fu
martino's matings;mutinous
homeowner owner;landlord
trebor terror;tribe
tediousness monotony;sameness
figurant dancer;company
satya's stay at;sates
heche's echoes;hootches
chased tear;run down
royalty power;primacy
ressaltada reseated;restated
burtonâs butt ins;butt-ins
technicals technics;mechanicals
iberia biri;briar
utenriks un rigs;un-rigs
foywonder's wonders;finders
atama atom;etyma
crap idiocy;drivel
uhm um;gum
m'lord lord;melody
fant fan;fat
nepotistic nightstick;night stick
ls asperity;bad news
belie negate;contradict
gleeful blithe;boon
zavaleta availed;savante
hail bombardment;salvo
harrhausen harassing;hair raising
'is 0s;1s
zeman heman;semen
whittle's vittles;witless
instructor lecturer;trainer
backgound back end;backland
lightoller lightly;lighters
digger miner;mole
annakin pannikin;snaking
raab raja;ran
librarianship information science;cybrarian services
pharmaceutical medicine;tonic
facade front;color
u03bf ebv;urbs
numbnuts numbness;numbings
saraband rawboned;serenade
storm' stormy;stoma
brawls squabble;clash
genreâ genre;genres
cantet's cantlets;canted
overload overburden;overwhelm
charnel catacomb;cemetery
ambushers' ambushed;ambush
agis ags;ais
lowlevel lowlife;lovely
birkoff kickoff;pickoff
guided shepherd;educate
`twenty 'tween;tent
approves favor;accept
unbuckled release;unloose
distill infuse;extract
preachiness preaching;reachings
ambiente ambients;ambience
gravitas sobriety;gravity
rã³s rays;rags
'thrown' throne;throw
clean hygienic;unblemished
dad papa;old man
piggyback reply;include
rowed swim;sail
massages beating;manipulation
relished enjoy;savor
oujia orca;okay
clashed rift;crash
ipod's epodes;ipod
misselthwaite most thawed;most earthward
aft abaft;back
'thundercats' thunderheads;under coats
noncloying 
pettet petite;patted
brenner brawnier;brine
karadzhic 
reloaded' re loaded;re-loaded
peroration summation;postscript
drained depleted;weary
womman women;workman
flaming glowing;red-hot
unaided only;unattended
caseload case-law;castled
refém refer;re form
prepping discipline;training
shmaltz schmaltzy;malts
consegue concierge;coons age
miming comedian;impersonator
schappert chapter;seaport
close convenient;warm
rip slit;gash
obcession obsessions;abscission
whities whited;whitish
bipedal personal;animal
cosy snug;cushy
mk2 m o;w k
depardeiux departers;deepsix
páginas paginates;pains
ranger rover;wanderer
charly chary;churl
hove's hooves;hoovers
bronstein bronzed;brings ruin
dyin' tying;din
breaksinto breaks in to;break into
0c c c;w c
00th h;t
taming subdue;suppress
'intolerance' in tolerance;in-tolerance
magnani margining;magnum
poppa poop;pop
schoenbrun pick one brain;squandering
few petty;minority
melas mewls;molars
trainingground training grounds;reform school
miguel macule;mingle
wi's wits;wise
brimmed swell;overflow
greasepaint paint;foundation
haggisreally hicksville;house rule
colom calm;clam
debutâ debit;debt
things stuff;goods
planetsome plants;plantest
pointedly voluntarily;knowingly
rollnecks rollics;roll
pellington's piling ons;peltings
untangled extricate;unravel
dillinger's drillings;fillings
concocts dream up;envision
artistes inventor;artisan
'paromiter parameter;promote
shakewspeare cheese parer;cheese-parer
carleton called on;cartoon
passepartout pass partout;pass-partout
konkan kink;conjoin
isaac' is sick;sack
deathscreams death;ruination
ondoy undo;undy
rsvp reply;RRSP
reorder transmute;render
tidal sinuous;running
`i've ave;eve
'porgy' porky;pogey
teabag de bug;de-bug
bushwah bush;busher
edel easel;idle
mace's maxes;mace
scopophilia scofflaw;scornful
mussel clam;crustacean
desprate disparate;depurate
5000 10 4;10-4
undergraduate freshman;senior
alarmist pessimist;Cassandra
mistress sweetheart;paramour
equates liken;relate
dumbness simpleness;foolishness
rgely regal;regally
3am bam;cam
ecreates aureates;bedeck
capades capotes;capeadores
moralises moralize;moralism
bonecrushingly bone crushing;bone-crushing
switchback switchboard;switch
milne mine;milden
philson malison;pulls on
baby's baby;baby sit
pittman hit man;hit-man
'truth a truth;troth
'03 .25;180
'syfy' safe;sofa
redcoat redcap;redhot
atempt tempt;attempts
waterdance'' what dones;water diets
ayoade abode;arcade
rap's rap;roups
sunbathing lounge;relax
makeup paint;foundation
daldry paltry;dilatory
grunnick grinning;grungy
sanomi swami;anemia
wol owl;wolf
vacationland 
subletting appoint;engage
woth worth;wroth
isten is tune;listen
ioan moan;roan
cussler's curlers;tussles
'hocus hocu;focus
appologize apologies;apologue
ostentation parade;show
desinteressantes dis-interests;lethargy
knuckled defer;kowtow
'sybilla' bulla;sibyl
remorselessly viciously;fiercely
salwar salary;slower
jokefest jockest;rockfest
assassination's assassination;assassinatings
missing away;removed
'tax taxi;tux
wabbits rabbits;wee bits
picnicking plinking;prinking
prances sashay;swagger
'drop drip;droop
moiazei mouse;mise
stereotype pattern;fashion
debts bill;commitment
women mariner;mate
tempi pace;cadence
ewing wing;hewing
inge's angers;ungues
fry's fraus;forays
barking growl;cry
'parody' prod;parity
3my m o;y
barkeeper bookkeeper;barker
tastebud test bed;taste bud
duke's dykes;duked
expiation reparation;redress
grr gar;err
wardh' warder;warded
'mostow most t;mist
shooter sling;pitcher
tritest banal;dull
imac ims;inc
unflushed un lashed;un-lashed
encarna enchain;incarnate
autobahn urban;art born
peripherally peripherals;periphery
yagyu yogi;yak
chrifi chief;shrift
recreated exhilarate;reinvigorate
welterweight welltaught;lightweight
pay salary;wage
crawford crowfoot;crafty
underconfident un confident;un-confident
sebastian's substance;sub stance
shedon showdown;shading
'martial' martial law;martial-law
kleurrijke clerical;accounting
xu eu;hu
comediennes entertainer;clown
chartbuster favorite;hit
perverted corrupted;deviating
fockers rockers;focus
kolchak's cowlicks;cleeks
bajic magic;big c
bairstow be stow;be-stow
grapwin growing;grappling
megabudget met a budget;meet budget
flattop hairdo;haircut
crudy crud;crude
kidd kids;kind
evictions expulsion;ouster
ritter's rioters;rooters
legality validity;justice
saki sail;sack
grim's grams;crimes
screaching scratching;scritching
smorsgabord 
pimply patchy;uneven
cherish's cherish;preserve
gentlemenâin gentlemen;gentlemanly
`psycho psych;psyche
mainstreet man street;man-street
loooong looking;loon
dupey dopey;duper
hatfield stifled;hateful
mofu mod;moue
graverobber grave robbers;devil
festas festal;vestas
pyromania torching;firing
goodadaptation good;dark adaptation
fopington found on;fountain
burdette buvette;barrette
deleuise televise;delude
refirmitories reformatory;penitentiary
mayores maires;mares
depending bank on;bet bottom dollar on
duhhhhh 
donkey horse;burro
lansing landing;lapsing
heche hitch;hooch
orthodoxs orthodox;orthodoxy
participates play;engage
cudeness nudeness;rudeness
'mindless' windless;minders
nobel nobly;nobler
darnell's drolls;charnels
pastoral bucolic;rural
prag rag;prig
depolarize de colorize;de-colorize
polling count;survey
solvable solvent;dissoluble
croneberg granger;greenback
waldo's waldo;wilds
crazies enthusiast;devotee
commercialized degrade;sell
kasparov's dis-proves;disproofs
scroll streamer;schedule
managerial directorial;supervisory
départ de part;de-part
'not knot;nit
probarly probable;properly
mysogenistic most gnostic;more gnostic
haired harried;aired
hindered obstruct;hamstring
addicted devoted;obsessed
bolls balls;bells
frescobaldi more skewbald;streaked
dolemite's de limits;de-limits
clue suggestion;trace
tammuz's tamps;tarsus
ahtarma atom;attars
dostoyevsky 
immitative commutative;imitate
nobu's nous;nebs
golina galena;goblin
rightsall rightly;righteously
theflickguy 
pulling tear;haul
klump lump;plump
'ma'am maam;mama
laundromat blind;hideaway
ivanowitch even with;on watch
ali's ails;allies
indeterminacy in determinate;in-determinate
pathak path;pathway
abigail's abigail;soubrette
until before;till
boyscout buys out;boy scout
weapons machine gun;pistol
witchie witched;witches
eros euros;eos
fat bulky;obese
bard's bauds;birds
twin dual;binary
roto rot;rota
huey hue;uey
`surprise' sur prise;sur-prise
rirath rebirth;ruth
economists business analyst;financial expert
duende dunned;denied
darcy dicey;dray
repaying refund;restore
madam dame;madame
jacked hoist;shove
consistence body;density
soetman hetman;postman
unemployment drop;sag
'anemic anomic;anemia
giovinazzo's giving ins;giving odds
troama tram;drama
terminate recess;conclude
murron maroon;murine
lipp's lp's;loppers
'knowing knowings;nowin
they'l thewy;the
vids TV set;box
movieâor movie;moviegoer
huffman's huffiness;hetmans
nosso nisse;ness
scapegoats fall guy;fool
quarterback Dutch uncle;aide
ypiretei proteu;prate
inseeing un seeing;un-seeing
litvack laid back;laid-back
poffy's puffers;offs
millardo mulled;mikado
zontar sinter;sonar
genetically naturally;intrinsically
snookums snookers;stickums
gosset's gests;ghosts
mildly indifferently;delicately
zabavu savvy;snafu
particle speck;fragment
obeisance salaam;fealty
duka dusk;dual
dietary comestible;digestible
greasers graders;graziers
dónde downed;toned
esquire sir;man
tornam tram;tornado
rudolf's ruddles;rdfs
'pretentious' pretentiou;pretentiously
s'posed de posed;de-posed
ou'll oil;olla
checklist series;file
wolfowitz wild waters;wall of water
referee's reveres;admire
seymore smote;snore
peet pet;peer
mildness compassion;tenderness
eschatalogy psychedelic;hallucinatory
bering bring;baring
moscow scow;moo cow
cutish cutis;currish
aerodrome airport;landing field
'beast' best;beastie
yanomano man man;unman
endnote endinged;indent
down's doings;do ins
grey ashen;dingy
muck goo;dirt
gloved capture;seize
intents animus;bottom line
grappled contend;confront
oppressive onerous;overbearing
grunberg grungy;grange
bellevue be lieve;be-lieve
harsant pheasant;has at
belong reside;apply
manflesh in flesh;made flesh
likethe lithe;liege
greenlighted more unlighted;green
desinteressante disinterest;dis interested
sbaraglio stragglier;scraggly
fishermen's firmness;firm ness
fulsome bombastic;buttery
contrasts comparison;diversity
stila steal;stelai
haunting's dauntings;tauntings
moost most;maoist
senaglese singles;senseless
polticaly political;poetical
'concider coincide;concede
pretended mock;fake
drenching inundate;soak
westley's pestles;restless
littered clutter;strew
nunsploitation 
disbelievable dis solvable;dis-solvable
schlep pull;jerk
technologist 
geeks weirdo;freak
bussed integrate;consolidate
'split spilt;spoilt
nerdle needler;nettle
theoreticians threatens;threatenings
saalistajat last act;realistic art
sics agitate;arouse
mcguires' micros;menageries
`oh o;ohs
car' card;care
paranormal abnormal;celestial
corridor aisle;passage
hashes stew;salmagundi
chafes irritate;ruffle
giddiest bemused;dizzy
cabs carriage;hack
'rolls' roles;drolls
rosamunde resound;cross mind
ironheart iron hearted;iron-hearted
medusan medusas;median
supposedly probably;apparently
rochon's reachings;retchings
channeling funnel;siphon
calaboose big house;brig
spoliers spellers;spielers
destitution poverty;want
emporer empower;emperor
kuleshov's gloves;quelches
memoir essay;autobiography
00x 13s;25s
lint's lint;lits
compelled urge;oblige
harlow halo;harlot
smeaton's smearings;smeltings
emergencies difficulty;crunch
`fordian' gordian;fordone
chimes sound;bell
t2 t's;te
monas mins;means
bronteized frondesced;baronets
apec spec;ape
kimonos frock;garment
profits product;goods
dicillo's dis-allows;docious
pinochio pinch;pinochle
ree re;reed
lim lime;limn
refresher cordial;pick-me-up
sculpture cut;fashion
tactful polite;perceptive
taupin's tappings;typings
hereon heroin;thereon
parizh prize;pariah
shead shard;shade
symphonic lyrical;harmonic
stinkingly stinking;stunningly
disposing adapt;predispose
rambha rhumba;rambler
rawrrr roarer;rare
raining sprinkle;patter
profoundness acumen;brain
geoffry go free;gofer
particleboard parti colored;parti-colored
toilet attire;dressing
maha aha;haha
you'll yowl;yule
luxemburg look smug;looks big
'faith' firth;father
2point4 pointy;pint
'scientist' scientists;sonnetist
lilting melodic;rhythmic
goetter cotter;gutter
entender engender;intend
negulseco's 
storming roar;tear
nicolevna nickeling;nickelling
crates box;carton
goody' good;goodie
heart' hearty;heat
grouse grievance;bellyache
nyman's namings;mans
brawlings warfare;riot
don`t dont;doing t
anthonyu inthing;inthings
loo bathroom;comfort station
stretches bridge;span
mia' mi;mis
'blackboard buckboard;van
refleja reflect;re flex
dominators administrator;supervisor
meanning meaning;moaning
stylisic stylist;styles
inhabitinghis inhabitancies;inhabitants
'siren serene;sire
heavyhanded coercive;cruel
guineas gainers;gurneys
diarkeias dickies;dirks
pavement sidewalk;road
heathen infidel;skeptic
buffoonish buffoon;buffooned
human's hymns;humanness
'stay sty;star
domicile abode;apartment
peterkurth put forth;potters earth
shoesâ shies;shoers
botched bumble;screw up
merritt merrier;merrily
unrecycled un recalled;un-recalled
sculptures cut;fashion
maitlin mailing;mantling
mifune's fines;minus
botherer paradise;botherers
gauss gassy;guess
solikable solvable;dislikable
sceptically skeptical;sceptics
martell mantel;mortally
voraciously voracious;vivaciously
uzi's u s;uis
justiça caustic;rustic
protector's protector;projectors
rf audio frequency;high frequency
incrementally increments;increment
'flopped' flipped;flapped
brainiacs brainsick;brains
victimizers double-crosser;crook
bodiless disembodied;immaterial
kabir jab;labor
totality whole;sum
bannister's canisters;bannses
cultdom coulded;oldtime
obtained retrieve;secure
hypersexual homo-sexual;hyper
cs3 cs;s'
'authentic authentics;un authentic
samo same;seam
mestre metre;mastery
